,system_id,mean_diff,abs_mean_diff,pct_diff,mean_elevation,min_elevation,max_elevation,rmse,total_length,n_points
69,2305290002,-19.259687423706055,19.259687423706055,-70.14792260821075,27.45582,24.9583,28.9901,19.290813446044922,867.1862,10
21,3405000079,-17.843374252319336,17.843374252319336,-68.07826229715297,26.21009,24.7604,27.4729,17.844898223876953,15246.686,620
94,4305000047,-17.832399368286133,17.832399368286133,-19.30450642823292,92.37428,0.000100000005,252.4238,120.9400405883789,2933.9631,68
47,3005000006,17.12153434753418,17.12153434753418,12.941648180139092,132.29794,129.75072,135.15631,19.21843147277832,57430.047,2228
37,5005000026,-14.31965446472168,14.31965446472168,-65.12148047259335,21.989141,18.371,25.3159,14.340925216674805,32629.46,379
103,5305000045,-12.134787559509277,12.134787559509277,-69.52286407658775,17.454384,15.4734,19.9613,12.160384178161621,1518.7994,61
92,4705000022,11.738749504089355,11.738749504089355,3.30385410291923,355.30472,3.9878018e-05,363.81323,64.8780746459961,6151.6094,242
43,4305000041,-11.168907165527344,11.168907165527344,-39.688318152649444,28.141548,0.000100000005,66.1263,31.447168350219727,2605.4397,91
70,5005000032,-10.916203498840332,10.916203498840332,-70.20186594630212,15.549734,14.106,19.0551,10.952352523803711,1281.3369,26
54,5005000015,-10.048434257507324,10.048434257507324,-69.4192331101483,14.475,14.0971,15.127,10.051465034484863,612.6972,10
26,5005100009,-10.00033187866211,10.00033187866211,-74.44388273313719,13.433383,11.8721,16.5138,10.027458190917969,1659.5967,107
68,5305000024,-9.636449813842773,9.636449813842773,-28.32856543699424,34.016724,11.2501,70.488495,9.677084922790527,45006.31,2806
86,5005000020,-9.27606201171875,9.27606201171875,-71.87197159246124,12.906369,11.3918,15.2517,9.316104888916016,1309.9862,19
7,3205020501,8.741969108581543,8.741969108581543,0.0,3.0480003e-05,3.0480001e-05,3.0480001e-05,9.725176811218262,1479.6768,11
98,3405000090,-8.433509826660156,8.433509826660156,-88.02108004682553,9.581239,5.3488,13.8702,8.437467575073242,40319.598,1810
17,5005902919,-8.375258445739746,8.375258445739746,-70.12805538251757,11.942807,6.8762,15.6248,8.471521377563477,3251.429,25
81,3405000130,-8.354945182800293,8.354945182800293,-65.28837965593016,12.796987,4.2001,21.1601,8.617999076843262,36575.445,802
96,5205000711,-6.844718933105469,6.844718933105469,-53.229001481943826,12.859003,3.3278801,24.634268,6.850899696350098,126107.4,1574
29,5105190002,-6.015583515167236,6.015583515167236,-4.006220346788808,150.15608,148.79541,153.22751,6.212882995605469,71000.69,3474
83,4305000003,5.159958839416504,5.159958839416504,11.260473767422843,45.82364,0.00013987781,52.545235,17.448034286499023,1745.336,51
