system_id,mean_elevation_diff,points_compared
2205000010,-0.15586142600911046,96
5705000042,-0.03781027927717487,306
3905550001,-1.1842074076419835,477
5005000053,-2.1271981655321768,48
5805000018,-0.04824538358739418,1569
4705000086,-0.09746350221743572,331
4305000004,-1.124096382511004,297
3305000021,-2.1431835841582947,466
3805010046,-0.2096648822412233,193
2405000013,-0.09244019910972337,487
3805010014,0.08096017313628262,357
2205000016,-0.03008155001921525,654
3905110001,-0.3323393706457945,70
3405000127,-0.13651308224748535,147
5305000038,-0.06836120737768141,192
2605000004,-0.13044813837547473,721
5105580003,-0.02257693008928351,304
5905000046,-0.20278034511666265,765
2405000024,-0.021541188179203932,221
3605000052,-0.07495133828896637,81
3805010058,-0.049208543252849395,11
2305090003,-0.32527021194512995,203
5105780002,-0.06181918953599136,492
5305000028,-0.516405471832653,95
5305000046,-0.16707296465545288,238
5705000032,-3.3455009712331267,101
3905100002,-0.07489416066692099,7
6005000685,-0.4976353633032566,71
4605000001,-1.8206293728333014,104
3405000098,0.18169187345331678,29
3405000073,0.12294143560344728,80
3805010010,-0.4852255985412958,39
4905000030,-1.0832575888913498,133
5205000432,0.033352879171060695,90
4605000007,-2.404686156532202,537
2205000012,-0.15606628488583116,410
3005000020,-0.04605900170743072,801
3605000215,-0.11927540821205866,35
3405000065,-0.717307560488311,143
5505000004,-3.2184082702159826,65
2205000040,-3.3005640235557734,267
3805010096,-2.7371295526621373,306
5105620002,-0.4602648895427152,112
3805010070,0.00016652410818609415,266
5705000020,0.4414090996959251,78
4905000014,-0.40467432742926174,190
6005000010,-0.05485774801715948,3141
2605000016,-1.0847950995753923,49
3805030179,-0.05420478210909447,133
3805020023,-0.010390958105311605,147
2605000006,-0.7776665641592139,452
3805030002,0.002499012402113343,486
2305150003,-0.647252415710929,7
2605000005,-0.2308987666732446,1386
3005000017,-0.008483702705679393,110
3005000001,-0.07761164963098481,544
5105950050,0.014616244285107565,313
5205000311,-0.06806461589621651,90
2205000061,-0.06200764535941921,267
4705000071,0.0892335266616584,4
2405000020,-0.2767659629964326,1057
3605000065,-0.3648593964206428,677
3805010021,0.060604818934846566,267
3805010097,0.07262295596028509,54
3205010204,0.1443664116728264,47
3805030011,-0.028186555103096058,53
2205000071,0.010792891340415736,100
5105580300,0.027935135877978013,156
5705000037,-1.8557591461159344,21
3305000026,-0.03145269405598851,53
5105230001,-0.9326800922099774,185
5705000007,-0.38480277723660444,178
6005000130,-0.037211279634871836,776
3605000039,-0.05619849483258531,124
4705000078,-0.040774331639027064,490
3905000009,-0.30525844425397125,71
5105950074,-1.2813566046872717,1095
2305170001,-0.800084108248128,237
4305000023,17.089747586025513,302
4305000005,-1.6035245761802375,298
4505000009,-0.32741258012673735,294
5205000152,-0.08072347140535062,413
5705000021,0.16461313451414802,57
4305000033,-0.4066396057005546,437
5105580006,0.04143227673969387,277
5305000043,0.0019117924505011035,181
4705000023,0.02481178330877593,805
2305340003,0.0029199725393022047,51
5505000019,-0.04752162818871504,147
6005000230,-1.94572958878494,94
5105860001,-0.9397975042878561,2107
4705000154,-0.08077392084304973,116
3405000123,0.021397980901749932,1514
5205000662,-0.046948053732776135,118
5505000013,0.048189624268075354,459
2205000013,-0.12755891536041195,242
4605000006,-0.08210106706461433,458
